variant,bs,dx,dy,n,k,kernel_name,kernel_name_full,total_time_ms,avg_time_ms,instances,time_percent
TurboFNO_2D_A,32,128,128,64,16,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.798892,0.466482,6,52.1
TurboFNO_2D_A,32,128,128,64,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.953562,0.158927,6,17.8
TurboFNO_2D_A,32,128,128,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",0.807675,0.1346125,6,15.0
TurboFNO_2D_A,32,128,128,64,16,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",0.558014,0.0930023,6,10.4
TurboFNO_2D_A,32,128,128,64,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.252862,0.0421437,6,4.7
TurboFNO_2D_A,32,128,128,64,32,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.795852,0.4659753,6,42.8
TurboFNO_2D_A,32,128,128,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",1.285241,0.21420679999999998,6,19.7
TurboFNO_2D_A,32,128,128,64,32,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",1.032185,0.17203079999999998,6,15.8
TurboFNO_2D_A,32,128,128,64,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.947033,0.1578388,6,14.5
TurboFNO_2D_A,32,128,128,64,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.46873,0.0781217,6,7.2
TurboFNO_2D_A,32,128,128,64,64,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.608621,0.4347702,6,30.7
TurboFNO_2D_A,32,128,128,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",2.161968,0.360328,6,25.4
TurboFNO_2D_A,32,128,128,64,64,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",1.888402,0.3147337,6,22.2
TurboFNO_2D_A,32,128,128,64,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.94985,0.15830829999999999,6,11.2
TurboFNO_2D_A,32,128,128,64,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.900538,0.15008970000000002,6,10.6
TurboFNO_2D_A,32,128,128,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.395522,0.732587,6,31.9
TurboFNO_2D_A,32,128,128,64,128,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",3.883076,0.6471793,6,28.2
TurboFNO_2D_A,32,128,128,64,128,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.791017,0.4651695,6,20.2
TurboFNO_2D_A,32,128,128,64,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.776532,0.29608870000000004,6,12.9
TurboFNO_2D_A,32,128,128,64,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.940026,0.156671,6,6.8
TurboFNO_2D_A,32,128,128,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",8.451587,1.4085978000000001,6,36.5
TurboFNO_2D_A,32,128,128,64,256,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",7.498988,1.2498313,6,32.4
TurboFNO_2D_A,32,128,128,64,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.477064,0.5795106999999999,6,15.0
TurboFNO_2D_A,32,128,128,64,256,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.793738,0.465623,6,12.1
TurboFNO_2D_A,32,128,128,64,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.934937,0.15582279999999998,6,4.0
TurboFNO_2D_A,32,128,128,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",14.718329,2.4530548,6,37.3
TurboFNO_2D_A,32,128,128,64,512,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",14.302298,2.3837162999999997,6,36.3
TurboFNO_2D_A,32,128,128,64,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.008461,1.1680768000000001,6,17.8
TurboFNO_2D_A,32,128,128,64,512,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",2.493454,0.4155757,6,6.3
TurboFNO_2D_A,32,128,128,64,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",0.919225,0.1532042,6,2.3
TurboFNO_2D_A,32,128,128,128,16,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",5.533944,0.922324,6,56.6
TurboFNO_2D_A,32,128,128,128,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.90325,0.3172083,6,19.5
TurboFNO_2D_A,32,128,128,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",1.520405,0.2534008,6,15.6
TurboFNO_2D_A,32,128,128,128,16,fft_7_stride,"fft_7_stride(float2 *, float2 *, int, int, int, int)",0.557307,0.0928845,6,5.7
TurboFNO_2D_A,32,128,128,128,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.254142,0.042357,6,2.6
TurboFNO_2D_A,32,128,128,128,32,ifft_7_stride,"ifft_7_stride(float2 *, float2 *, int, int, int, int)",5.52089,0.9201483,6,48.3
